ar,stofnun,samtals
2014,Annað,75312769595
2015,Háskóli Íslands,12494795968
2015,Heilbrigðisstofnun Austurlands,2138149914
2015,Heilbrigðisstofnun Suðurlands,3168090687
2015,Heilbrigðisstofnun Vesturlands,2668645055
2015,Heilsugæsla á Höfuðborgarsvæðinu,4753387590
2015,Landhelgisgæsla Íslands,2599301107
2015,Landspítali,38736509510
2015,Lögreglustjórinn á Höfuðborgarsvæðinu,3347513095
2015,Sjúkrahúsið á Akureyri,4895731314
2015,Vegagerðin,2951340791
2015,Annað,83332342337
2016,Háskóli Íslands,13764491471
2016,Heilbrigðisstofnun Austurlands,2262391361
2016,Heilbrigðisstofnun Suðurlands,3411041637
2016,Heilbrigðisstofnun Vesturlands,2852724550
2016,Heilsugæsla á Höfuðborgarsvæðinu,5531837868
2016,Landhelgisgæsla Íslands,2683042800
2016,Landspítali,43651171242
2016,Lögreglustjórinn á Höfuðborgarsvæðinu,3592623435
2016,Sjúkrahúsið á Akureyri,5424676273
2016,Vegagerðin,3163991697
2016,Annað,90557365308
2017,Háskóli Íslands,14559321697
2017,Heilbrigðisstofnun Austurlands,2475231606
2017,Heilbrigðisstofnun Suðurlands,3901671148
2017,Heilbrigðisstofnun Vesturlands,3162235441
2017,Heilsugæsla á Höfuðborgarsvæðinu,6079277071
2017,Landhelgisgæsla Íslands,2876849706
2017,Landspítali,48496513960
2017,Lögreglustjórinn á Höfuðborgarsvæðinu,4080276598
2017,Sjúkrahúsið á Akureyri,6069098614
2017,Vegagerðin,3499959553
2017,Annað,99576638270
2018,Háskóli Íslands,15687297888
2018,Heilbrigðisstofnun Austurlands,2614424601
2018,Heilbrigðisstofnun Suðurlands,4062459921
2018,Heilbrigðisstofnun Vesturlands,3484673804
2018,Heilsugæsla á Höfuðborgarsvæðinu,6274959025
2018,Landhelgisgæsla Íslands,3186049774
2018,Landspítali,53955443790
2018,Lögreglustjórinn á Höfuðborgarsvæðinu,4315062343
2018,Sjúkrahúsið á Akureyri,6588270007
2018,Vegagerðin,3653152812
2018,Annað,107073648846
2019,Háskóli Íslands,16764972645
2019,Heilbrigðisstofnun Austurlands,2822224489
2019,Heilbrigðisstofnun Suðurlands,4402692211
2019,Heilbrigðisstofnun Vesturlands,3696792064
2019,Heilsugæsla á Höfuðborgarsvæðinu,6676168231
2019,Landhelgisgæsla Íslands,3414708671
2019,Landspítali,56480851673
2019,Lögreglustjórinn á Höfuðborgarsvæðinu,4687222822
2019,Sjúkrahúsið á Akureyri,6977428905
2019,Vegagerðin,3858241884
2019,Annað,112933896543
2020,Háskóli Íslands,18376178946
2020,Heilbrigðisstofnun Austurlands,3061687989
2020,Heilbrigðisstofnun Suðurlands,5036260259
2020,Heilbrigðisstofnun Vesturlands,3946028459
2020,Heilsugæsla á Höfuðborgarsvæðinu,7728796394
2020,Landhelgisgæsla Íslands,3691175944
2020,Landspítali,61599843377
2020,Lögreglustjórinn á Höfuðborgarsvæðinu,5227554588
2020,Sjúkrahúsið á Akureyri,7703426095
2020,Vegagerðin,4443254279
2020,Annað,118659616887
2021,Háskóli Íslands,19810907844
2021,Heilbrigðisstofnun Austurlands,3641043425
2021,Heilbrigðisstofnun Suðurlands,5506841206
2021,Heilbrigðisstofnun Vesturlands,4165141956
2021,Heilsugæsla á Höfuðborgarsvæðinu,8918356351
2021,Landhelgisgæsla Íslands,3832350864
2021,Landspítali,65603533442
2021,Lögreglustjórinn á Höfuðborgarsvæðinu,5458467316
2021,Sjúkrahúsið á Akureyri,8454617913
2021,Vegagerðin,4694461159
2021,Annað,125907619686
